intent,examples,responses
about_bot,"তুমি কে; তোমার নাম কি","আমি চাষের দিশা, একটি বাংলা চ্যাটবট"
what_you_for,"তুমি কি করো; তোমার কাজ কি","আমাকে সাহায্য করার জন্য তৈরি করা হয়েছে।"
greeting,"হ্যালো; হাই","হ্যালো! কেমন আছেন?"
good_morning,"শুভ সকাল; সকাল","শুভ সকাল, আপনার দিনটি শুভ হোক"
salam,"আসসালামু আলাইকুম","ওয় আলাইকুমুস সালাম"
how_are_you,"কেমন আছেন; কেমন আছো; ভালো আছো; ভালো আছেন","আমি ভালো আছি, আপনি কেমন আছেন?"
goodbye,"বিদায়; দেখা হবে পরে; আবার দেখা হবে","বিদায়!; দেখা হবে আবার!; ভালো থাকবেন!"
thanks,"ধন্যবাদ; থ্যাঙ্কস; অনেক ধন্যবাদ","আপনাকেও ধন্যবাদ; কোনো সমস্যা নেই; চাষের দিশা ব্যবহারের জন্য আপনাকেও ধন্যবাদ"
weather_query,"আজকের আবহাওয়া কেমন; বৃষ্টি হবে কি; বাইরে রোদ আছে","আজকের আবহাওয়া সুন্দর! ☀️; হালকা বৃষ্টি হচ্ছে 🌧️"
date_query,"তারিখ; তারিখ কত; আজকে তারিখ কত; আজকের তারিখ কত; আজকের তারিখ; আজকে তারিখ", "আজকে {current_date} তারিখ; {current_date} তারিখ আজকে"
time_query,"এখন কয়টা বাজে; সময় কত; ঘড়িতে কয়টা","এখন বাজে {current_time}; সময় এখন {current_time}।"
creator_info,"তোমাকে কে বানিয়েছে; তোমার ডেভেলপার কে","আমাকে তৈরি করেছেন ফিরোজ ইবনে জোবায়ের; আমি ফিরোজ ইবনে জোবায়েরের তৈরি একটি চ্যাটবট।"
help_request,"আমি সাহায্য চাই; আমাকে সাহায্য করতে পারো কি; সাহায্য দরকার","আপনি কীভাবে সাহায্য চান?; আমি চেষ্টা করব সাহায্য করতে।"
farewell,"শুভ রাত্রি; শুভ দিন; দেখা হবে","শুভ রাত্রি!; ভালো থাকবেন!; দেখা হবে আবার।"
